,instrument_key,name
0,NSE_INDEX|India VIX,India VIX
1,NSE_EQ|INE614X07274,DHANI LOANS & SERV LTD
2,NSE_EQ|INE614X07282,DHANI LOANS & SERV LTD
3,NSE_EQ|INE0D0U01013,AAA TECHNOLOGIES LIMITED
4,NSE_EQ|INE883F01010,AADHAR HOUSING FINANCE L
5,NSE_EQ|INE087Z01024,AAKASH EXPLORATION SER L
6,NSE_EQ|INE198H01019,AAREY DRUGS & PHARM LTD
7,NSE_EQ|INE721Z01010,AARON INDUSTRIES LIMITED
8,NSE_EQ|INE01C001018,AARTECH SOLONICS LIMITED
9,NSE_EQ|INE767A01016,AARTI DRUGS LTD.
10,NSE_EQ|INE769A01020,AARTI INDUSTRIES LTD
11,NSE_EQ|INE0LRU01027,AARTI PHARMALABS LIMITED
12,NSE_EQ|INE09EO01013,AARTI SURFACTANTS LIMITED
13,NSE_EQ|INE09EO04017,AARTI SURFACTANTS LIMITED
14,NSE_EQ|INE273D01019,AARVEE DEN. & EXP. LTD
15,NSE_EQ|INE754X01016,AARVI ENCON LIMITED
16,NSE_EQ|INE0OB201016,AATMAJ HEALTHCARE LIMITED
17,NSE_EQ|INE216P01012,AAVAS FINANCIERS LIMITED
18,NSE_EQ|INE421A01028,ABAN OFFSHORE LTD.
19,NSE_EQ|INE117A01022,ABB INDIA LIMITED
20,NSE_EQ|INE358A01014,ABBOTT INDIA LIMITED
21,NSE_EQ|INE674K01013,ADITYA BIRLA CAPITAL LTD.
22,NSE_EQ|INE08PH01015,A B COTSPIN INDIA LIMITED
23,NSE_EQ|INE647O01011,ADITYA BIRLA FASHION & RT
24,NSE_EQ|INE00YB01017,A B INFRABUILD LIMITED
25,NSE_EQ|INE251C01025,ABM INTERNATIONAL LTD
26,NSE_EQ|INE982R01015,A B N INTERCORP LIMITED
27,NSE_EQ|INE404A01024,ADIT BIRL SUN LIF AMC LTD
28,NSE_EQ|INE0QRV01016,ABS MARINE SERVICES LTD
29,NSE_EQ|INE012A01025,ACC LIMITED
30,NSE_EQ|INE793A01012,ACCELYA SOLN INDIA LTD
31,NSE_EQ|INE0Q5D01013,ACCENT MICROCELL LIMITED
32,NSE_EQ|INE113X01015,ACCORD SYNERGY LIMITED
33,NSE_EQ|INE648Z01023,ACCURACY SHIPPING LIMITED
34,NSE_EQ|INE731H01025,ACTION CONST EQUIP LTD
35,NSE_EQ|INE543V01017,ACE INTEGRATED SOLU. LTD.
36,NSE_EQ|INE128X01021,ARCHEAN CHEMICAL IND LTD
37,NSE_EQ|INE666E01020,ANDHRA CEMENTS LIMITED
38,NSE_EQ|INE152B01027,ALLCARGO GATI LIMITED
39,NSE_EQ|INE0P4T01013,ARVIND AND COMPANY
40,NSE_EQ|INE931S01010,ADANI ENERGY SOLUTION LTD
41,NSE_EQ|INE423A01024,ADANI ENTERPRISES LIMITED
42,NSE_EQ|INE364U01010,ADANI GREEN ENERGY LTD
43,NSE_EQ|INE742F01042,ADANI PORT & SEZ LTD
44,NSE_EQ|INE814H01011,ADANI POWER LTD
45,NSE_EQ|INE982B01027,ADF FOODS LIMITED
46,NSE_EQ|INE0CHO01012,ARCHIDPLY DECOR LIMITED
47,NSE_EQ|INE045A01017,ADOR WELDING LTD
48,NSE_EQ|INE737B01033,ADROIT INFOTECH LIMITED
49,NSE_EQ|INE102I01027,ALLIED DIGITAL SERV. LTD
50,NSE_EQ|INE199C01026,ADVANI HOT.& RES.(I) LTD
51,NSE_EQ|INE837H01020,ADVANCED ENZYME TECH LTD
52,NSE_EQ|INE208C01025,AEGIS LOGISTICS LIMITED
53,NSE_EQ|INE024001021,AEROFLEX INDUSTRIES LTD
54,NSE_EQ|INE0BWX01014,AETHER INDUSTRIES LIMITED
55,NSE_EQ|INE00WC01027,AFFLE (INDIA) LIMITED
56,NSE_EQ|INE204E01012,AGARWAL INDS CORP LTD.
57,NSE_EQ|INE0MLA01012,AGARWAL FLOAT GLASS I LTD
58,NSE_EQ|INE415A01038,AGI GREENPAC LIMITED
59,NSE_EQ|INE0LF301013,AGNI GREEN POWER LTD
60,NSE_EQ|INE449G01018,AGRI-TECH (INDIA) LIMITED
61,NSE_EQ|INE740V01019,AGRO PHOS INDIA LIMITED
62,NSE_EQ|INE583L01014,AGS TRANSACT TECH LTD
63,NSE_EQ|INE0O6N01012,A G UNIVERSAL LIMITED
64,NSE_EQ|INE136T01014,AHIMSA INDUSTRIES LTD.
65,NSE_EQ|INE00ZE01026,ABANS HOLDINGS LIMITED
66,NSE_EQ|INE00PV01013,AHLADA ENGINEERS LIMITED
67,NSE_EQ|INE926K01017,ASIAN HOTELS (EAST) LTD
68,NSE_EQ|INE758C01029,AHLUWALIA CONT IND LTD
69,NSE_EQ|INE212H01026,AIA ENGINEERING LIMITED
70,NSE_EQ|INE206F01022,AUTHUM INVEST & INFRA LTD
71,NSE_EQ|INE0CAJ01017,ABHISHEK INTEGRATIONS LTD
72,NSE_EQ|INE0RUV01018,AIMTRON ELECTRONICS LTD
73,NSE_EQ|INE645W01026,AIRAN LIMITED
74,NSE_EQ|INE801L01010,AIRO LAM LIMITED
75,NSE_EQ|INE635Y01015,ANI INTEGRATED SERV LTD.
76,NSE_EQ|INE031B01049,AJANTA PHARMA LIMITED
77,NSE_EQ|INE298G01027,AJMERA REALTY & INF I LTD
78,NSE_EQ|INE820Y01021,AJOONI BIOTECH LIMITED
79,NSE_EQ|INE0PCY01014,AKANKSHA POWER N INFRA L
80,NSE_EQ|INE737W01013,AKASH INFRA-PROJECTS LTD
81,NSE_EQ|INE00Y801016,AKG EXIM LIMITED
82,NSE_EQ|INE642Z01026,AKI INDIA LIMITED
83,NSE_EQ|INE256Z01025,AKSHAR SPINTEX LIMITED
84,NSE_EQ|INE542B01011,AKSHARCHEM INDIA LIMITED
85,NSE_EQ|INE523B01011,AKSH OPTIFIBRE  LTD
86,NSE_EQ|INE133A01011,AKZO NOBEL INDIA LIMITED
87,NSE_EQ|INE914E01040,ALANKIT LIMITED
88,NSE_EQ|INE155C01010,ALBERT DAVID LIMITED
89,NSE_EQ|INE426A01027,ALEMBIC LIMITED
90,NSE_EQ|INE062D01024,ALICON CASTALLOY LIMITED
