name,month_high,month_low,week_high,week_low,day_high,day_low
Nifty 50,23490.4,21281.45,,,23490.4,23334.25
NIFTY100 EQL Wgt,32572.2,28438.7,,,32572.2,32280.4
NIFTY50 EQL Wgt,30031.95,26785.05,,,30031.95,29844.7
NiftyM150Momntm50,63670.0,54378.95,,,63670.0,62762.5
Nifty Auto,25774.7,22026.3,,,25774.7,25347.35
Nifty Commodities,9390.65,8073.25,,,9227.0,9144.2
Nifty Mid Liq 15,12474.15,10871.65,,,12474.15,12398.25
Nifty GS 10Yr Cln,881.77,874.62,,,879.9,879.18
NIFTY TOTAL MKT,12505.05,11017.7,,,12505.05,12405.65
Nifty Serv Sector,29368.8,26535.15,,,29334.25,29139.4
